epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,623.223,1.57813,2.67686,1.51154,0.2368,0.25863,0.17737,0.07383,1.91357,2.866,1.92355,0.000552874,0.000552874,0.000552874
2,1191.93,1.57497,2.30778,1.52583,0.38063,0.38317,0.30105,0.14857,1.75047,2.83894,1.77999,0.00088905,0.00088905,0.00088905
3,1739.91,1.55718,2.18487,1.49342,0.42816,0.48731,0.36863,0.17739,1.68968,2.45572,1.6103,0.00100518,0.00100518,0.00100518
4,2249.07,1.48236,1.94159,1.44379,0.43085,0.55045,0.43489,0.22211,1.53919,2.09036,1.51914,0.000676802,0.000676802,0.000676802
5,2752.14,1.39005,1.83192,1.38302,0.49784,0.5659,0.52167,0.30016,1.45221,1.87897,1.44801,0.000346736,0.000346736,0.000346736
